date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:50	59651/59651	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Jan%202019%2023:32:04%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/tab.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/tab.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:50	489/489	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jul%202018%2015:40:16%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/com.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/com.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:50	587/587	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jul%202018%2015:45:22%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/tv.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/tv.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:51	693/693	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jul%202018%2015:49:12%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/shoe.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/shoe.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:51	687/687	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jul%202018%2015:51:08%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/kid.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/kid.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:51	617/617	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jul%202018%2015:54:20%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/watch.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/watch.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:52	599/599	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jul%202018%2015:56:28%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/health.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/health.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:52	544/544	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jul%202018%2015:58:02%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/car.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/car.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:53	647/647	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jul%202018%2016:00:36%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/sport.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/sport.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:55	9412/9412	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Jan%202019%2023:29:26%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/sb-1.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/sb-1.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:56	8413/8413	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Jan%202019%2023:30:32%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/sb-2.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/sb-2.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
